id,house_area,house_age,bedroom,garden_area,sale_price,parking,furnished
1,8450,3,3,1548,184,Yes,Yes
2,9600,10,3,2493,166,Yes,Yes
3,11250,3,3,1958,221,Yes,Yes
4,9550,11,3,2646,156,Yes,Yes
5,14260,4,4,1747,271,Yes,Yes
6,14115,5,1,9087,261,Yes,Yes
7,10084,2,3,2993,224,Yes,Yes
8,10382,10,3,2938,172,Yes,Yes
9,6120,16,2,2659,142,Yes,Yes
10,7420,16,2,2141,191,Yes,Yes
11,11200,12,3,1854,230,Yes,Yes
12,11924,2,4,1514,231,Yes,Yes
13,12968,13,2,6132,173,Yes,Yes
14,10652,2,3,1748,229,Yes,Yes
15,10920,14,2,3167,212,Yes,Yes
16,6120,3,2,2529,165,Yes,Yes
17,11241,11,2,3314,228,Yes,Yes
18,10791,12,2,5016,211,Yes,Yes
19,13695,3,3,2441,201,Yes,Yes
20,7560,12,3,2123,136,Yes,Yes
21,14215,2,4,2812,237,Yes,Yes
22,7449,16,3,1316,143,Yes,Yes
23,9742,3,3,1841,185,Yes,Yes
24,4224,10,3,1043,110,Yes,Yes
25,8246,3,3,2226,182,Yes,Yes
26,14230,2,3,4344,249,Yes,Yes
27,7200,4,3,1877,159,Yes,Yes
28,11478,2,3,2065,170,Yes,Yes
29,16321,4,2,5076,260,Yes,Yes
30,6324,16,1,5832,186,Yes,Yes
31,8500,16,3,2499,186,Yes,Yes
32,8544,2,3,2362,194,Yes,Yes
33,11049,2,3,3121,193,Yes,Yes
34,10552,14,4,1120,222,Yes,Yes
35,7313,2,2,2028,144,Yes,Yes
36,13418,2,4,2860,270,Yes,Yes
37,10859,5,3,3073,199,Yes,Yes
38,8532,6,3,2253,208,Yes,Yes
39,7922,2,3,1354,194,Yes,Yes
40,6040,15,2,1581,171,No,Yes
41,8658,12,3,1250,149,Yes,Yes
42,16905,14,2,8180,249,Yes,Yes
43,9180,8,2,4088,206,Yes,Yes
44,9200,9,3,2526,207,Yes,Yes
45,7945,14,3,1938,146,Yes,Yes
46,7658,2,2,1888,135,Yes,Yes
47,12822,3,1,12462,230,Yes,Yes
48,11096,2,3,3220,223,Yes,Yes
49,4456,2,2,1076,146,No,Yes
50,7742,12,3,1036,141,Yes,Yes
51,13869,4,3,2810,225,Yes,Yes
52,6240,16,3,909,188,Yes,Yes
53,8472,13,2,3844,211,Yes,No
54,50271,7,0,0,411,Yes,Yes
55,7134,15,3,1006,185,Yes,Yes
56,10175,13,3,2941,156,Yes,Yes
57,2645,4,3,596,108,Yes,Yes
